分类名： (图片张数，标注个数) 
----------------------------
plate:  (7620, 7910)
粤:  (796, 800)
Z:  (499, 515)
B:  (1028, 1115)
T:  (334, 341)
8:  (3150, 4058)
3:  (2538, 3095)
港:  (132, 133)
L:  (481, 493)
S:  (429, 447)
5:  (2784, 3404)
0:  (3038, 4084)
A:  (3693, 3927)
7:  (2618, 3283)
1:  (2817, 3425)
警:  (64, 64)
9:  (2853, 3554)
2:  (2653, 3212)
豫:  (403, 405)
V:  (301, 313)
6:  (2914, 3695)
Q:  (360, 371)
4:  (1253, 1432)
C:  (1064, 1106)
鲁:  (178, 178)
D:  (1601, 1799)
K:  (553, 574)
Y:  (331, 337)
G:  (537, 560)
W:  (257, 259)
P:  (461, 481)
澳:  (43, 43)
M:  (584, 597)
R:  (444, 454)
J:  (522, 539)
H:  (585, 603)
藏:  (243, 243)
F:  (823, 842)
X:  (327, 339)
N:  (396, 402)
E:  (666, 691)
U:  (300, 310)
辽:  (285, 285)
皖:  (1148, 1149)
闽:  (250, 250)
青:  (44, 44)
云:  (65, 65)
冀:  (163, 163)
新:  (11, 11)
苏:  (283, 283)
晋:  (110, 110)
贵:  (180, 180)
川:  (196, 196)
蒙:  (41, 41)
吉:  (285, 285)
浙:  (236, 236)
沪:  (180, 180)
湘:  (268, 268)
京:  (128, 128)
津:  (90, 90)
桂:  (280, 280)
琼:  (40, 40)
赣:  (299, 299)
渝:  (124, 124)
鄂:  (394, 394)
陕:  (75, 75)
黑:  (133, 133)
宁:  (10, 10)
甘:  (24, 24)
学:  (50, 50)
总数:  (7817, 65826)
总类(nc):  70类
